Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate,True,Pred,P_A,P_D,P_H,Profit,Capital
2021-22,2021-08-28 15:00:00+00:00,Norwich,Leicester,1,2,A,1.0,1.0,D,R Jones,14.0,9.0,4.0,3.0,9.0,9.0,8.0,9.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.0,2.2,0.0,1.4,2.2,0.2,-1.4,0.0,-0.2,A,A,0.4414744597307888,0.3015107546420388,0.2570147856271723,2.7006943172546993,111.28034512585644
2021-22,2021-08-28 15:00:00+00:00,Newcastle,Southampton,2,2,D,0.0,0.0,D,P Tierney,10.0,22.0,5.0,6.0,4.0,4.0,11.0,6.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.8,2.4,0.4,0.4,2.6,0.0,1.4,-0.2000000000000001,0.4,D,H,0.2429184446265295,0.2657237253459975,0.4913578300274729,-1.0,110.28034512585644
2021-22,2021-08-28 15:00:00+00:00,Brighton,Everton,0,2,A,0.0,1.0,A,J Moss,14.0,14.0,3.0,5.0,4.0,5.0,7.0,9.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.6,0.6,0.6,0.8,1.4,0.4,0.8,-0.7999999999999999,0.1999999999999999,A,H,0.2194884766927068,0.2759706939963098,0.5045408293109834,-1.0,109.28034512585644
2021-22,2021-08-28 15:00:00+00:00,Aston Villa,Brentford,1,1,D,1.0,1.0,D,P Bankes,7.0,9.0,5.0,2.0,3.0,2.0,15.0,14.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.4,1.2,0.4,0.0,0.0,0.0,1.4,1.2,0.4,D,A,0.5809538588947868,0.1423658622828622,0.2766802788223512,-1.0,108.28034512585644
2021-22,2021-08-28 17:30:00+00:00,Liverpool,Chelsea,1,1,D,1.0,1.0,D,A Taylor,24.0,6.0,7.0,3.0,12.0,3.0,13.0,4.0,0.0,2.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.8,0.4,0.8,2.0,0.8,0.8,-0.1999999999999999,-0.4,0.0,D,H,0.2614754321420995,0.3259949721237019,0.4125295957341983,-1.0,107.28034512585644
2021-22,2021-08-29 14:00:00+00:00,Burnley,Leeds,1,1,D,0.0,0.0,D,M Oliver,12.0,12.0,3.0,2.0,5.0,5.0,13.0,9.0,4.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,0.6,2.6,0.0,1.8,1.6,0.6,-1.2000000000000002,1.0,-0.6,D,A,0.6330803141647777,0.1613225083052945,0.2055971775299274,-1.0,106.28034512585644
2021-22,2021-08-29 14:00:00+00:00,Tottenham,Watford,1,0,H,1.0,0.0,H,A Marriner,15.0,9.0,8.0,2.0,10.0,3.0,8.0,14.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.0,0.6,0.8,0.6,2.4,0.0,1.4,-1.7999999999999998,0.8,H,H,0.1332415401947088,0.1985811105558367,0.6681773492494544,1.299114531612049,107.57945965746849
2021-22,2021-08-29 16:30:00+00:00,Wolves,Man United,0,1,A,0.0,0.0,D,M Dean,15.0,10.0,6.0,3.0,5.0,7.0,7.0,9.0,3.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.8,1.6,0.4,1.8,0.8,0.6,-1.0,0.8,-0.1999999999999999,A,A,0.5794485351051306,0.2099289400778577,0.2106225248170115,2.7006943172546993,110.28015397472319
2021-22,2021-09-11 12:30:00+00:00,Crystal Palace,Tottenham,3,0,H,0.0,0.0,D,J Moss,18.0,2.0,4.0,1.0,8.0,2.0,13.0,15.0,2.0,1.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,1.0,2.2,0.2,2.0,1.8,0.4,-1.0,0.4000000000000001,-0.2,H,A,0.4066350457920389,0.2692173137320153,0.3241476404759458,-1.0,109.28015397472319
2021-22,2021-09-11 15:00:00+00:00,Watford,Wolves,0,2,A,0.0,0.0,D,P Bankes,6.0,14.0,2.0,5.0,6.0,8.0,15.0,13.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.6,2.2,0.6,0.4,1.0,0.2,1.2000000000000002,1.2000000000000002,0.3999999999999999,A,H,0.2578941984481768,0.3225142126123831,0.41959158893944,-1.0,108.28015397472319
