Season,DateTime,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR,B365H,B365D,B365A,ImpProb_H,ImpProb_D,ImpProb_A,HomeResult,AwayResult,Home_GF_avg,Home_GA_avg,Home_WinRate,Away_GF_avg,Away_GA_avg,Away_WinRate,Diff_GF,Diff_GA,Diff_WinRate,P_H,P_D,P_A,Predicted,Profit,Capital
2021-22,2021-08-28 12:30:00+00:00,Man City,Arsenal,5,0,H,3.0,0.0,H,M Atkinson,25.0,1.0,10.0,0.0,14.0,0.0,5.0,7.0,1.0,2.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,3.4,1.2,0.6,1.8,0.6,0.8,1.6,0.6,-0.2,0.2831508682522115,0.2224694127654947,0.4943797189822938,H,-1.0,88.89734359483614
2021-22,2021-08-28 15:00:00+00:00,West Ham,Crystal Palace,2,2,D,1.0,0.0,H,S Attwell,14.0,9.0,4.0,2.0,5.0,3.0,10.0,7.0,1.0,0.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,2.0,1.0,0.6,0.8,2.0,0.2,1.2,-1.0,0.3999999999999999,0.1781751421331581,0.2334966337558019,0.5883282241110399,H,-1.0,87.89734359483614
2021-22,2021-08-28 15:00:00+00:00,Norwich,Leicester,1,2,A,1.0,1.0,D,R Jones,14.0,9.0,4.0,3.0,9.0,9.0,8.0,9.0,2.0,1.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.0,2.2,0.0,1.4,2.2,0.2,-1.4,0.0,-0.2,0.4440060492730305,0.2892774208416296,0.2667165298853398,A,-1.0,86.89734359483614
2021-22,2021-08-28 15:00:00+00:00,Newcastle,Southampton,2,2,D,0.0,0.0,D,P Tierney,10.0,22.0,5.0,6.0,4.0,4.0,11.0,6.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.8,2.4,0.4,0.4,2.6,0.0,1.4,-0.2000000000000001,0.4,0.2028098194416526,0.2455758007022476,0.5516143798560997,H,-1.0,85.89734359483614
2021-22,2021-08-28 15:00:00+00:00,Brighton,Everton,0,2,A,0.0,1.0,A,J Moss,14.0,14.0,3.0,5.0,4.0,5.0,7.0,9.0,1.0,2.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,1.6,0.6,0.6,0.8,1.4,0.4,0.8,-0.7999999999999999,0.1999999999999999,0.2172286331760693,0.2481812368731419,0.5345901299507887,H,2.7006943172546993,88.59803791209085
2021-22,2021-08-28 15:00:00+00:00,Aston Villa,Brentford,1,1,D,1.0,1.0,D,P Bankes,7.0,9.0,5.0,2.0,3.0,2.0,15.0,14.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.4,1.2,0.4,0.0,0.0,0.0,1.4,1.2,0.4,0.2793078324271448,0.276123184617517,0.4445689829553381,H,-1.0,87.59803791209085
2021-22,2021-08-28 17:30:00+00:00,Liverpool,Chelsea,1,1,D,1.0,1.0,D,A Taylor,24.0,6.0,7.0,3.0,12.0,3.0,13.0,4.0,0.0,2.0,0.0,1.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,1.8,0.4,0.8,2.0,0.8,0.8,-0.1999999999999999,-0.4,0.0,0.3373734941857564,0.2702632664285713,0.3923632393856722,H,0.0,87.59803791209085
2021-22,2021-08-29 14:00:00+00:00,Burnley,Leeds,1,1,D,0.0,0.0,D,M Oliver,12.0,12.0,3.0,2.0,5.0,5.0,13.0,9.0,4.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,D,D,0.6,2.6,0.0,1.8,1.6,0.6,-1.2000000000000002,1.0,-0.6,0.5326019712275254,0.2544945848090589,0.2129034439634157,A,-1.0,86.59803791209085
2021-22,2021-08-29 14:00:00+00:00,Tottenham,Watford,1,0,H,1.0,0.0,H,A Marriner,15.0,9.0,8.0,2.0,10.0,3.0,8.0,14.0,3.0,3.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,W,L,2.0,0.6,0.8,0.6,2.4,0.0,1.4,-1.7999999999999998,0.8,0.122970521939724,0.2176909144893188,0.6593385635709571,H,-1.0,85.59803791209085
2021-22,2021-08-29 16:30:00+00:00,Wolves,Man United,0,1,A,0.0,0.0,D,M Dean,15.0,10.0,6.0,3.0,5.0,7.0,7.0,9.0,3.0,4.0,0.0,0.0,2.299114531612049,4.084460452807998,3.7006943172546993,0.4578421668316386,0.2577161882479978,0.2844416449203635,L,W,0.8,1.6,0.4,1.8,0.8,0.6,-1.0,0.8,-0.1999999999999999,0.4834282835434458,0.2761855416870293,0.2403861747695249,A,-1.0,84.59803791209085
